"Front","Back"
"che io PORTARE","(che io) porti"
"che tu PORTARE","(che tu) porti"
"(perfetto) che io PORTARE","(che io) abbia portato"
"(perfetto) che voi PORTARE","(che voi) abbiate portato"
"se (presente) io PORTARE","se (io) porterei"
"se (presente) voi PORTARE","se (voi) portereste"
"se (passato) lui PORTARE","se (lui) avrebbe portato"
"(...ndo) ...  PORTARE","(... ) portando"
"(passato ...ndo) PORTARE","(avendo) portato"
"(aggetivo) ...  PORTARE","(... ) portante"
"(per favore) ...  PORTARE","(... ) porta"
"(adesso) io POTERE","(io) posso"
"(adesso) tu POTERE","(tu) puoi"
"(adesso) lui POTERE","(lui) può"
"(adesso) noi POTERE","(noi) possiamo"
"(adesso) voi POTERE","(voi) potete"
"(adesso) loro POTERE","(loro) possono"
"(ieri) lui POTERE","(lui) poteva"
"(molto tempo fa) io POTERE","(io) potei/otetti"
"(molto tempo fa) loro POTERE","(loro) poterono/otettero"
"(domani) noi POTERE","(noi) potremo"
"(perfetto) tu POTERE","(tu) hai potuto"
"(perchè ieri) noi POTERE","(noi) eravamo potuti"
"che io POTERE","(che io) possa"
"che loro POTERE","(che loro) possano"
"(perfetto) che io POTERE","(che io) abbia potuto"
"(perfetto) che tu POTERE","(che tu) sia potuto"
"se (presente) io POTERE","se (io) potrei"
"se (presente) loro POTERE","se (loro) potrebbero"
"se (passato) io POTERE","se (io) avrei potuto"
"(...ndo) ...  POTERE","(... ) potendo"
"(passato ...ndo) POTERE","(essendo) potute"
"(aggetivo) ...  POTERE","(... ) potente"
"(adesso) io PREFERIRE","(io) preferisco"
"(adesso) tu PREFERIRE","(tu) preferisci"
"(adesso) lei PREFERIRE","(lei) preferisce"
"(adesso) noi PREFERIRE","(noi) preferiamo"
"(adesso) voi PREFERIRE","(voi) preferite"
"(adesso) loro PREFERIRE","(loro) preferiscono"
"(ieri) loro PREFERIRE","(loro) preferivano"
"(molto tempo fa) io PREFERIRE","(io) preferii"
"(molto tempo fa) tu PREFERIRE","(tu) preferisti"
"(domani) tu PREFERIRE","(tu) preferirai"
"(perfetto) tu PREFERIRE","(tu) hai preferito"
"(perchè ieri) noi PREFERIRE","(noi) avevamo preferito"
"che io PREFERIRE","(che io) preferisca"
"che loro PREFERIRE","(che loro) preferiscano"
"(perfetto) che io PREFERIRE","(che io) abbia preferito"
"(perfetto) che tu PREFERIRE","(che tu) abbia preferito"
"se (presente) io PREFERIRE","se (io) preferirei"
"se (presente) loro PREFERIRE","se (loro) preferirebbero"
"se (passato) noi PREFERIRE","se (noi) avremmo preferito"
"(...ndo) ...  PREFERIRE","(... ) preferendo"
"(passato ...ndo) PREFERIRE","(avendo) preferito"
"(aggetivo) ...  PREFERIRE","(... ) preferente"
"(per favore) ...  PREFERIRE","(... ) preferisci"
"(adesso) io PRENDERE","(io) prendo"
"(adesso) tu PRENDERE","(tu) prendi"
"(adesso) lei PRENDERE","(lei) prende"
"(adesso) noi PRENDERE","(noi) prendiamo"
"(adesso) voi PRENDERE","(voi) prendete"
"(adesso) loro PRENDERE","(loro) prendono"
"(ieri) tu PRENDERE","(tu) prendevi"
"(molto tempo fa) io PRENDERE","(io) presi"
"(molto tempo fa) loro PRENDERE","(loro) presero"
"(domani) noi PRENDERE","(noi) prenderemo"
"(perfetto) voi PRENDERE","(voi) avete preso"
"(perchè ieri) lui PRENDERE","(lui) aveva preso"
"che io PRENDERE","(che io) prenda"
"che voi PRENDERE","(che voi) prendiate"
"(perfetto) che io PRENDERE","(che io) abbia preso"
"(perfetto) che tu PRENDERE","(che tu) abbia preso"
"se (presente) io PRENDERE","se (io) prenderei"
"se (presente) voi PRENDERE","se (voi) prendereste"
"se (passato) tu PRENDERE","se (tu) avresti preso"
"(...ndo) ...  PRENDERE","(... ) prendendo"
"(passato ...ndo) PRENDERE","(avendo) preso"
"(aggetivo) ...  PRENDERE","(... ) prendente"
"(per favore) ...  PRENDERE","(... ) prendi"
"(adesso) io PREOCCUPARSI","(io) mi preoccupo"
"(adesso) tu PREOCCUPARSI","(tu) ti preoccupi"
"(adesso) lui PREOCCUPARSI","(lui) si preoccupa"
"(adesso) noi PREOCCUPARSI","(noi) ci preoccupiamo"
"(adesso) voi PREOCCUPARSI","(voi) vi preoccupate"
"(adesso) loro PREOCCUPARSI","(loro) si preoccupano"
"(ieri) noi PREOCCUPARSI","(noi) ci preoccupavamo"
"(molto tempo fa) io PREOCCUPARSI","(io) mi preoccupai"
"(molto tempo fa) lei PREOCCUPARSI","(lei) si preoccupò"
"(domani) io PREOCCUPARSI","(io) mi preoccuperò"
"(perfetto) io PREOCCUPARSI","(io) mi sono preoccupato"
"(perchè ieri) lei PREOCCUPARSI","(lei) si era preoccupata"
"che io PREOCCUPARSI","(che io) mi preoccupi"
"che voi PREOCCUPARSI","(che voi) vi preoccupiate"
"(perfetto) che io PREOCCUPARSI","(che io) mi sia preoccupato"
"(perfetto) che lui PREOCCUPARSI","(che lui) si sia preoccupato"
"se (presente) io PREOCCUPARSI","se (io) mi preoccuperei"
"se (presente) voi PREOCCUPARSI","se (voi) vi preoccupereste"
"se (passato) voi PREOCCUPARSI","se (voi) vi sareste preoccupati"
"(...ndo) ...  PREOCCUPARSI","(... ) preoccupandosi"
"(passato ...ndo) PREOCCUPARSI","(essendosi) preoccupato"
"(aggetivo) ...  PREOCCUPARSI","(... ) preoccupantesi"
"(per favore) ...  PREOCCUPARSI","(... ) preoccupati"
"(adesso) io PREPARARE","(io) preparo"
"(adesso) tu PREPARARE","(tu) prepari"
"(adesso) lei PREPARARE","(lei) prepara"
"(adesso) noi PREPARARE","(noi) prepariamo"
"(adesso) voi PREPARARE","(voi) preparate"
"(adesso) loro PREPARARE","(loro) preparano"
"(ieri) loro PREPARARE","(loro) preparavano"
"(molto tempo fa) io PREPARARE","(io) preparai"
"(molto tempo fa) tu PREPARARE","(tu) preparasti"
"(domani) io PREPARARE","(io) preparerò"
"(perfetto) loro PREPARARE","(loro) hanno preparato"
"(perchè ieri) io PREPARARE","(io) avevo preparato"
"che io PREPARARE","(che io) prepari"
"che lei PREPARARE","(che lei) prepari"
"(perfetto) che io PREPARARE","(che io) abbia preparato"
"(perfetto) che noi PREPARARE","(che noi) abbiamo preparato"
"se (presente) io PREPARARE","se (io) preparerei"
"se (presente) noi PREPARARE","se (noi) prepareremmo"
"se (passato) voi PREPARARE","se (voi) avreste preparato"
"(...ndo) ...  PREPARARE","(... ) preparando"
"(passato ...ndo) PREPARARE","(avendo) preparato"
"(aggetivo) ...  PREPARARE","(... ) preparante"
"(per favore) ...  PREPARARE","(... ) prepara"
"(adesso) io PREPARARSI","(io) mi preparo"
"(adesso) tu PREPARARSI","(tu) ti prepari"
"(adesso) lei PREPARARSI","(lei) si prepara"
"(adesso) noi PREPARARSI","(noi) ci prepariamo"
"(adesso) voi PREPARARSI","(voi) vi preparate"
"(adesso) loro PREPARARSI","(loro) si preparano"
"(ieri) loro PREPARARSI","(loro) si preparavano"
"(molto tempo fa) io PREPARARSI","(io) mi preparai"
"(molto tempo fa) noi PREPARARSI","(noi) ci preparammo"
"(domani) noi PREPARARSI","(noi) ci prepareremo"
"(perfetto) io PREPARARSI","(io) mi sono preparato"
"(perchè ieri) voi PREPARARSI","(voi) vi eravate preparati"
"che io PREPARARSI","(che io) mi prepari"
"che tu PREPARARSI","(che tu) ti prepari"
"(perfetto) che io PREPARARSI","(che io) mi sia preparato"
"(perfetto) che voi PREPARARSI","(che voi) vi siate preparati"
"se (presente) io PREPARARSI","se (io) mi preparerei"
"se (presente) noi PREPARARSI","se (noi) ci prepareremmo"
"se (passato) loro PREPARARSI","se (loro) si sarebbero preparati"
"(...ndo) ...  PREPARARSI","(... ) preparandosi"
"(passato ...ndo) PREPARARSI","(essendosi) preparato"
"(aggetivo) ...  PREPARARSI","(... ) preparantesi"
"(per favore) ...  PREPARARSI","(... ) preparati"
"(adesso) io PULIRE","(io) pulisco"
"(adesso) tu PULIRE","(tu) pulisci"
"(adesso) lei PULIRE","(lei) pulisce"
"(adesso) noi PULIRE","(noi) puliamo"
"(adesso) voi PULIRE","(voi) pulite"
"(adesso) loro PULIRE","(loro) puliscono"
"(ieri) noi PULIRE","(noi) pulivamo"
"(molto tempo fa) io PULIRE","(io) pulii"
"(molto tempo fa) noi PULIRE","(noi) pulimmo"
"(domani) voi PULIRE","(voi) pulirete"
"(perfetto) tu PULIRE","(tu) hai pulito"
"(perchè ieri) voi PULIRE","(voi) avevate pulito"
"che io PULIRE","(che io) pulisca"
"che tu PULIRE","(che tu) pulisca"
"(perfetto) che io PULIRE","(che io) abbia pulito"
"(perfetto) lui PULIRE","(lui) abbia pulito"
"se (presente) io PULIRE","se (io) pulirei"
"se (presente) tu PULIRE","se (tu) puliresti"
"se (passato) noi PULIRE","se (noi) avremmo pulito"
"(...ndo) ...  PULIRE","(... ) pulendo"
"(passato ...ndo) PULIRE","(avendo) pulito"
"(aggetivo) ...  PULIRE","(... ) pulente"
"(per favore) ...  PULIRE","(... ) pulisci"
"(adesso) io RESTARE","(io) resto"
"(adesso) tu RESTARE","(tu) resti"
"(adesso) lui RESTARE","(lui) resta"
"(adesso) noi RESTARE","(noi) restiamo"
"(adesso) voi RESTARE","(voi) restate"
"(adesso) loro RESTARE","(loro) restano"
"(ieri) noi RESTARE","(noi) restavamo"
"(molto tempo fa) io RESTARE","(io) restai"
"(molto tempo fa) noi RESTARE","(noi) restammo"
"(domani) noi RESTARE","(noi) resteremo"
"(perfetto) voi RESTARE","(voi) siete restati"
"(perchè ieri) voi RESTARE","(voi) eravate restati"
"che io RESTARE","(che io) resti"
"che tu RESTARE","(che tu) resti"
"(perfetto) che io RESTARE","(che io) sia restato"
"(perfetto) che noi RESTARE","(che noi) siamo restati"
"se (presente) io RESTARE","se (io) resterei"
"se (presente) noi RESTARE","se (noi) resteremmo"
"se (passato) lei RESTARE","se (lei) sarebbe restata"
"(...ndo) ...  RESTARE","(... ) restando"
"(passato ...ndo) RESTARE","(essendo) restato"
"(aggetivo) ...  RESTARE","(... ) restante"
"(per favore) ...  RESTARE","(... ) resta"
"(adesso) io RICEVERE","(io) ricevo"
"(adesso) tu RICEVERE","(tu) ricevi"
"(adesso) lei RICEVERE","(lei) riceve"
"(adesso) noi RICEVERE","(noi) riceviamo"
"(adesso) voi RICEVERE","(voi) ricevete"
"(adesso) loro RICEVERE","(loro) ricevono"
"(ieri) noi RICEVERE","(noi) ricevevamo"
"(molto tempo fa) io RICEVERE","(io) ricevetti/ei"
"(molto tempo fa) loro RICEVERE","(loro) ricevettero/erono"
"(domani) voi RICEVERE","(voi) riceverete"
"(perfetto) tu RICEVERE","(tu) hai ricevuto"
"(perchè ieri) voi RICEVERE","(voi) avevate ricevuto"
"che io RICEVERE","(che io) riceva"
"che noi RICEVERE","(che noi) riceviamo"
"(perfetto) che io RICEVERE","(che io) abbia ricevuto"
"(perfetto) che loro RICEVERE","(che loro) abbiano ricevuto"
"se (presente) io RICEVERE","se (io) riceverei"
"se (presente) tu RICEVERE","se (tu) riceveresti"
"se (passato) tu RICEVERE","se (tu) avresti ricevuto"
"(...ndo) ...  RICEVERE","(... ) ricevendo"
"(passato ...ndo) RICEVERE","(avendo) ricevuto"
"(aggetivo) ...  RICEVERE","(... ) ricevente"
"(per favore) ...  RICEVERE","(... ) ricevi"
"(adesso) io RICORDARE","(io) ricordo"
"(adesso) tu RICORDARE","(tu) ricordi"
"(adesso) lui RICORDARE","(lui) ricorda"
"(adesso) noi RICORDARE","(noi) ricordiamo"
"(adesso) voi RICORDARE","(voi) ricordate"
"(adesso) loro RICORDARE","(loro) ricordano"
"(ieri) voi RICORDARE","(voi) ricordavate"
"(molto tempo fa) io RICORDARE","(io) ricordai"
"(molto tempo fa) lei RICORDARE","(lei) ricordò"
"(domani) voi RICORDARE","(voi) ricorderete"
"(perfetto) lui RICORDARE","(lui) ha ricordato"
"(perchè ieri) loro RICORDARE","(loro) avevano ricordato"
"che io RICORDARE","(che io) ricordi"
"che noi RICORDARE","(che noi) ricordiamo"
"(perfetto) che io RICORDARE","(che io) abbia ricordato"
"(perfetto) che tu RICORDARE","(che tu) abbia ricordato"
"se (presente) io RICORDARE","se (io) ricorderei"
"se (presente) noi RICORDARE","se (noi) ricorderemmo"
"se (passato) io RICORDARE","se (io) avrei ricordato"
"(...ndo) ...  RICORDARE","(... ) ricordando"
"(passato ...ndo) RICORDARE","(avendo) ricordato"
"(aggetivo) ...  RICORDARE","(... ) ricordante"
"(per favore) ...  RICORDARE","(... ) ricorda"
"(adesso) io RICORDARSI","(io) mi ricordo"
"(adesso) tu RICORDARSI","(tu) ti ricordi"
"(adesso) lui RICORDARSI","(lui) si ricorda"
"(adesso) noi RICORDARSI","(noi) ci ricordiamo"
"(adesso) voi RICORDARSI","(voi) vi ricordate"
"(adesso) loro RICORDARSI","(loro) si ricordano"
"(ieri) noi RICORDARSI","(noi) ci ricordavamo"
"(molto tempo fa) io RICORDARSI","(io) mi ricordai"
"(molto tempo fa) noi RICORDARSI","(noi) ci ricordammo"
"(domani) loro RICORDARSI","(loro) si ricorderanno"
"(perfetto) io RICORDARSI","(io) mi sono ricordato"
"(perchè ieri) tu RICORDARSI","(tu) ti eri ricordato"
"che io RICORDARSI","(che io) mi ricordi"
"che noi RICORDARSI","(che noi) ci ricordiamo"
"(perfetto) che io RICORDARSI","(che io) mi sia ricordato"
"(perfetto) che noi RICORDARSI","(che noi) ci siamo ricordati"
"se (presente) io RICORDARSI","se (io) mi ricorderei"
"se (presente) lui RICORDARSI","se (lui) si ricorderebbe"
"se (passato) lei RICORDARSI","se (lei) si sarebbe ricordata"
"(...ndo) ...  RICORDARSI","(... ) ricordandosi"
"(passato ...ndo) RICORDARSI","(essendosi) ricordato"
"(aggetivo) ...  RICORDARSI","(... ) ricordantesi"
"(per favore) ...  RICORDARSI","(... ) ricordati"
"(adesso) io RIDERE","(io) rido"
"(adesso) tu RIDERE","(tu) ridi"
"(adesso) lui RIDERE","(lui) ride"
"(adesso) noi RIDERE","(noi) ridiamo"
"(adesso) voi RIDERE","(voi) ridete"
"(adesso) loro RIDERE","(loro) ridono"
"(ieri) lei RIDERE","(lei) rideva"
"(molto tempo fa) io RIDERE","(io) risi"
"(molto tempo fa) noi RIDERE","(noi) ridemmo"
"(domani) io RIDERE","(io) riderò"
"(perfetto) tu RIDERE","(tu) hai riso"
"(perchè ieri) lui RIDERE","(lui) aveva riso"
"che io RIDERE","(che io) rida"
"che tu RIDERE","(che tu) rida"
"(perfetto) che io RIDERE","(che io) abbia riso"
"(perfetto) che tu RIDERE","(che tu) abbia riso"
"se (presente) io RIDERE","se (io) riderei"
"se (presente) noi RIDERE","se (noi) rideremmo"
"se (passato) tu RIDERE","se (tu) avresti riso"
"(...ndo) ...  RIDERE","(... ) ridendo"
"(passato ...ndo) RIDERE","(avendo) riso"
"(aggetivo) ...  RIDERE","(... ) ridente"
"(per favore) ...  RIDERE","(... ) ridi"
"(adesso) io RIMANERE","(io) rimango"
"(adesso) tu RIMANERE","(tu) rimani"
"(adesso) lei RIMANERE","(lei) rimane"
"(adesso) noi RIMANERE","(noi) rimaniamo"
"(adesso) voi RIMANERE","(voi) rimanete"
"(adesso) loro RIMANERE","(loro) rimangono"
"(ieri) noi RIMANERE","(noi) rimanevamo"
"(molto tempo fa) io RIMANERE","(io) rimasi"
"(molto tempo fa) voi RIMANERE","(voi) rimaneste"
"(domani) io RIMANERE","(io) rimarrò"
"(perfetto) io RIMANERE","(io) sono rimasto"
"(perchè ieri) loro RIMANERE","(loro) erano rimasti"
"che io RIMANERE","(che io) rimanga"
"che tu RIMANERE","(che tu) rimanga"
"(perfetto) che io RIMANERE","(che io) sia rimasto"
"(perfetto) che lei RIMANERE","(che lei) sia rimasta"
"se (presente) io RIMANERE","se (io) rimarrei"
"se (presente) loro RIMANERE","se (loro) rimarrebbero"
"se (passato) noi RIMANERE","se (noi) saremmo rimasti"
"(...ndo) ...  RIMANERE","(... ) rimanendo"
"(passato ...ndo) RIMANERE","(essendo) rimasto"
"(aggetivo) ...  RIMANERE","(... ) rimanente"
"(per favore) ...  RIMANERE","(... ) rimani"
"(adesso) io RISPONDERE","(io) rispondo"
"(adesso) tu RISPONDERE","(tu) rispondi"
"(adesso) lei RISPONDERE","(lei) risponde"
"(adesso) noi RISPONDERE","(noi) rispondiamo"
"(adesso) voi RISPONDERE","(voi) rispondete"
"(adesso) loro RISPONDERE","(loro) rispondono"
"(ieri) tu RISPONDERE","(tu) rispondevi"
"(molto tempo fa) io RISPONDERE","(io) risposi"
"(molto tempo fa) lui RISPONDERE","(lui) rispose"
"(domani) io RISPONDERE","(io) risponderò"
"(perfetto) noi RISPONDERE","(noi) abbiamo risposto"
"(perchè ieri) tu RISPONDERE","(tu) avevi risposto"
"che io RISPONDERE","(che io) risponda"
"che noi RISPONDERE","(che noi) rispondiamo"
"(perfetto) che io RISPONDERE","(che io) abbia risposto"
"(perfetto) che tu RISPONDERE","(che tu) abbia risposto"
"se (presente) io RISPONDERE","se (io) risponderei"
"se (presente) noi RISPONDERE","se (noi) risponderemmo"
"se (passato) lei RISPONDERE","se (lei) avrebbe risposto"
"(...ndo) ...  RISPONDERE","(... ) rispondendo"
"(passato ...ndo) RISPONDERE","(avendo) risposto"
"(aggetivo) ...  RISPONDERE","(... ) rispondente"
"(per favore) ...  RISPONDERE","(... ) rispondi"
"(adesso) io RIUSCIRE","(io) riesco"
"(adesso) tu RIUSCIRE","(tu) riesci"
"(adesso) lui RIUSCIRE","(lui) riesce"
"(adesso) noi RIUSCIRE","(noi) riusciamo"
"(adesso) voi RIUSCIRE","(voi) riuscite"
"(adesso) loro RIUSCIRE","(loro) riescono"
"(ieri) noi RIUSCIRE","(noi) riuscivamo"
"(molto tempo fa) io RIUSCIRE","(io) riuscii"
"(molto tempo fa) voi RIUSCIRE","(voi) riusciste"
"(domani) voi RIUSCIRE","(voi) riuscirete"
"(perfetto) io RIUSCIRE","(io) sono riuscito"
"(perchè ieri) lui RIUSCIRE","(lui) era riuscito"
"che io RIUSCIRE","(che io) riesca"
"che voi RIUSCIRE","(che voi) riusciate"
"(perfetto) che io RIUSCIRE","(che io) sia riuscito"
"(perfetto) che voi RIUSCIRE","(che voi) siate riusciti"
"se (presente) io RIUSCIRE","se (io) riuscirei"
"se (presente) noi RIUSCIRE","se (noi) riusciremmo"
"se (passato) loro RIUSCIRE","se (loro) sarebbero riusciti"
"(...ndo) ...  RIUSCIRE","(... ) riuscendo"
"(passato ...ndo) RIUSCIRE","(essendo) riuscito"
"(aggetivo) ...  RIUSCIRE","(... ) riuscente"
"(per favore) ...  RIUSCIRE","(... ) riesci"
"(adesso) io SALIRE","(io) salgo"
"(adesso) tu SALIRE","(tu) sali"
"(adesso) lui SALIRE","(lui) sale"
"(adesso) noi SALIRE","(noi) saliamo"
"(adesso) voi SALIRE","(voi) salite"
"(adesso) loro SALIRE","(loro) salgono"
"(ieri) tu SALIRE","(tu) salivi"
"(molto tempo fa) io SALIRE","(io) salii"
"(molto tempo fa) lei SALIRE","(lei) salì"
"(domani) lui SALIRE","(lui) salirà"
"(perfetto) noi SALIRE","(noi) abbiamo salito"
"(perchè ieri) loro SALIRE","(loro) erano salite"
"che io SALIRE","(che io) salga"
"che noi SALIRE","(che noi) saliamo"
"(perfetto) che io SALIRE","(che io) abbia salito"
"(perfetto) che noi SALIRE","(che noi) siamo saliti"
"se (presente) io SALIRE","se (io) salirei"
"se (presente) voi SALIRE","se (voi) salireste"
"se (passato) voi SALIRE","se (voi) sareste saliti"
"(...ndo) ...  SALIRE","(... ) salendo"
"(passato ...ndo) SALIRE","(essendo) salito"
"(aggetivo) ...  SALIRE","(... ) salente/iente"
"(per favore) ...  SALIRE","(... ) sali"
"(adesso) io SAPERE","(io) so"
"(adesso) tu SAPERE","(tu) sai"
"(adesso) lui SAPERE","(lui) sa"
"(adesso) noi SAPERE","(noi) sappiamo"
"(adesso) voi SAPERE","(voi) sapete"
"(adesso) loro SAPERE","(loro) sanno"
"(ieri) noi SAPERE","(noi) sapevamo"
"(molto tempo fa) io SAPERE","(io) seppi"
"(molto tempo fa) loro SAPERE","(loro) seppero"
"(domani) loro SAPERE","(loro) sapranno"
"(perfetto) io SAPERE","(io) ho saputo"
"(perchè ieri) loro SAPERE","(loro) avevano saputo"
"che io SAPERE","(che io) sappia"
"che loro SAPERE","(che loro) sappiano"
"(perfetto) che io SAPERE","(che io) abbia saputo"
"(perfetto) che tu SAPERE","(che tu) abbia saputo"
"se (presente) io SAPERE","se (io) saprei"
"se (presente) loro SAPERE","se (loro) saprebbero"
"se (passato) tu SAPERE","se (tu) avresti saputo"
"(...ndo) ...  SAPERE","(... ) sapendo"
"(passato ...ndo) SAPERE","(avendo) saputo"
"(aggetivo) ...  SAPERE","(... ) sapiente"
"(per favore) ...  SAPERE","(... ) sappi"
"(adesso) io SBRIGARSI","(io) mi sbrigo"
"(adesso) tu SBRIGARSI","(tu) ti sbrighi"
"(adesso) lui SBRIGARSI","(lui) si sbriga"
"(adesso) noi SBRIGARSI","(noi) ci sbrighiamo"
"(adesso) voi SBRIGARSI","(voi) vi sbrigate"
"(adesso) loro SBRIGARSI","(loro) si sbrigano"
"(ieri) noi SBRIGARSI","(noi) ci sbrigavamo"
"(molto tempo fa) io SBRIGARSI","(io) mi sbrigai"
"(molto tempo fa) loro SBRIGARSI","(loro) si sbrigarono"
"(domani) io SBRIGARSI","(io) mi sbrigherò"
"(perfetto) voi SBRIGARSI","(voi) vi siete sbrigati"
"(perchè ieri) loro SBRIGARSI","(loro) si erano sbrigati"
"che io SBRIGARSI","(che io) mi sbrighi"
"che lei SBRIGARSI","(che lei) si sbrighi"
"(perfetto) che io SBRIGARSI","(che io) mi sia sbrigato"
"(perfetto) che lui SBRIGARSI","(che lui) si sia sbrigato"
"se (presente) io SBRIGARSI","se (io) mi sbrigherei"
"se (presente) voi SBRIGARSI","se (voi) vi sbrighereste"
"se (passato) lui SBRIGARSI","se (lui) si sarebbe sbrigato"
"(...ndo) ...  SBRIGARSI","(... ) sbrigandosi"
"(passato ...ndo) SBRIGARSI","(essendosi) sbrigato"
"(aggetivo) ...  SBRIGARSI","(... ) sbrigantesi"
"(per favore) ...  SBRIGARSI","(... ) sbrigati"
"(adesso) io SCEGLIERE","(io) scelgo"
"(adesso) tu SCEGLIERE","(tu) scegli"
"(adesso) lui SCEGLIERE","(lui) sceglie"
"(adesso) noi SCEGLIERE","(noi) scegliamo"
"(adesso) voi SCEGLIERE","(voi) scegliete"
"(adesso) loro SCEGLIERE","(loro) scelgono"
"(ieri) lui SCEGLIERE","(lui) sceglieva"
"(molto tempo fa) io SCEGLIERE","(io) scelsi"
"(molto tempo fa) noi SCEGLIERE","(noi) scegliemmo"
"(domani) io SCEGLIERE","(io) sceglierò"
"(perfetto) voi SCEGLIERE","(voi) avete scelto"
"(perchè ieri) voi SCEGLIERE","(voi) avevate scelto"
"che io SCEGLIERE","(che io) scelga"
"che lei SCEGLIERE","(che lei) scelga"
"(perfetto) che io SCEGLIERE","(che io) abbia scelto"
"(perfetto) che noi SCEGLIERE","(che noi) abbiamo scelto"
"se (presente) io SCEGLIERE","se (io) sceglierei"
"se (presente) tu SCEGLIERE","se (tu) sceglieresti"
"se (passato) tu SCEGLIERE","se (tu) avresti scelto"
"(...ndo) ...  SCEGLIERE","(... ) scegliendo"
"(passato ...ndo) SCEGLIERE","(avendo) scelto"
"(aggetivo) ...  SCEGLIERE","(... ) scegliente"
"(per favore) ...  SCEGLIERE","(... ) scegli"
"(adesso) io SCENDERE","(io) scendo"
"(adesso) tu SCENDERE","(tu) scendi"
"(adesso) lui SCENDERE","(lui) scende"
"(adesso) noi SCENDERE","(noi) scendiamo"
"(adesso) voi SCENDERE","(voi) scendete"
"(adesso) loro SCENDERE","(loro) scendono"
"(ieri) voi SCENDERE","(voi) scendevate"
"(molto tempo fa) io SCENDERE","(io) scesi"
"(molto tempo fa) lui SCENDERE","(lui) scese"
"(domani) lei SCENDERE","(lei) scenderà"
"(perfetto) tu SCENDERE","(tu) hai sceso"
"(perchè ieri) noi SCENDERE","(noi) avevamo sceso"
"che io SCENDERE","(che io) scenda"
"che tu SCENDERE","(che tu) scenda"
"(perfetto) che io SCENDERE","(che io) abbia sceso"
"(perfetto) che noi SCENDERE","(che noi) abbiamo sceso"
"se (presente) io SCENDERE","se (io) scenderei"
"se (presente) voi SCENDERE","se (voi) scendereste"
"se (passato) lui SCENDERE","se (lui) avrebbe sceso"
"(...ndo) ...  SCENDERE","(... ) scendendo"
"(passato ...ndo) SCENDERE","(essendo) scesi"
"(aggetivo) ...  SCENDERE","(... ) scendente"
"(per favore) ...  SCENDERE","(... ) scendi"
"(adesso) io SCRIVERE","(io) scrivo"
"(adesso) tu SCRIVERE","(tu) scrivi"
"(adesso) lei SCRIVERE","(lei) scrive"
"(adesso) noi SCRIVERE","(noi) scriviamo"
"(adesso) voi SCRIVERE","(voi) scrivete"
"(adesso) loro SCRIVERE","(loro) scrivono"
"(ieri) noi SCRIVERE","(noi) scrivevamo"
"(molto tempo fa) io SCRIVERE","(io) scrissi"
"(molto tempo fa) lui SCRIVERE","(lui) scrisse"
"(domani) lei SCRIVERE","(lei) scriverà"
"(perfetto) noi SCRIVERE","(noi) abbiamo scritto"
"(perchè ieri) io SCRIVERE","(io) avevo scritto"
"che io SCRIVERE","(che io) scriva"
"che noi SCRIVERE","(che noi) scriviamo"
"(perfetto) che io SCRIVERE","(che io) abbia scritto"
"(perfetto) che loro SCRIVERE","(che loro) abbiano scritto"
"se (presente) io SCRIVERE","se (io) scriverei"
"se (presente) noi SCRIVERE","se (noi) scriveremmo"
"se (passato) noi SCRIVERE","se (noi) avremmo scritto"
"(...ndo) ...  SCRIVERE","(... ) scrivendo"
"(passato ...ndo) SCRIVERE","(avendo) scritto"
"(aggetivo) ...  SCRIVERE","(... ) scrivente"
"(per favore) ...  SCRIVERE","(... ) scrivi"
"(adesso) io SEDERSI","(io) mi sièdo/èggo"
"(adesso) tu SEDERSI","(tu) ti sièdi"
"(adesso) lei SEDERSI","(lei) si siède"
"(adesso) noi SEDERSI","(noi) ci sediamo"
"(adesso) voi SEDERSI","(voi) vi sedete"
"(adesso) loro SEDERSI","(loro) si sièdono/èggono"
"(ieri) loro SEDERSI","(loro) si sedevano"
"(molto tempo fa) io SEDERSI","(io) mi sedei/edetti"
"(molto tempo fa) tu SEDERSI","(tu) ti sedesti"
"(domani) io SEDERSI","(io) mi sederò/iederò"
"(perfetto) lei SEDERSI","(lei) si è seduta"
"(perchè ieri) lui SEDERSI","(lui) si era seduto"
"che io SEDERSI","(che io) mi sièda/ègga"
"che noi SEDERSI","(che noi) ci sediamo/eggiamo"
"(perfetto) che io SEDERSI","(che io) mi sia seduto"
"(perfetto) che tu SEDERSI","(che tu) ti sia seduto"
"se (presente) io SEDERSI","se (io) mi sederei/iederei"
"se (presente) lui SEDERSI","se (lui) si sederebbe/iederebbe"
"se (passato) noi SEDERSI","se (noi) ci saremmo seduti"
"(...ndo) ...  SEDERSI","(... ) sedendosi"
"(passato ...ndo) SEDERSI","(essendosi) sedute"
"(aggetivo) ...  SEDERSI","(... ) sedentesi"
"(per favore) ...  SEDERSI","(... ) sièditi"
"(adesso) io SEGUIRE","(io) seguo"
"(adesso) tu SEGUIRE","(tu) segui"
"(adesso) lei SEGUIRE","(lei) segue"
"(adesso) noi SEGUIRE","(noi) seguiamo"
"(adesso) voi SEGUIRE","(voi) seguite"
"(adesso) loro SEGUIRE","(loro) seguono"
"(ieri) loro SEGUIRE","(loro) seguivano"
"(molto tempo fa) io SEGUIRE","(io) seguii"
"(molto tempo fa) voi SEGUIRE","(voi) seguiste"
